Matrix CSR ModCSR Jagged Ellpack
1138_bus 71838 1330457 74853 104020
494_bus 6450 5312 6918 12739
662_bus 4793 5343 7259 8881
685_bus 5446 4519 9745 14418
abb313 7918 6177 8702 36142
af23560 8038 7113 14658 17714
arc130 11765 9102 12640 106795
ash219 7575 28653 9655 19133
ash292 10055 7671 18383 96347
ash331 17664 5507 32097 29583
ash608 4757 22869 5910 16813
ash85 5925 17233 5946 28431
ash958 26267 4657 6916 16630
bcspwr01 5997 6068 7149 13438
bcspwr02 7724 35500 8756 44844
bcspwr03 15878 6129 8327 11418
bcspwr04 7465 22839 7319 18545
bcspwr05 5694 5401 7243 14061
bcspwr06 5741 8219 6235 9542
bcspwr07 5812 5875 7357 9815
bcspwr08 5441 5267 5801 11302
bcspwr09 4475 4240 5178 6326
bcspwr10 4638 3651 5460 4393
bcsstk01 5274 4795 5973 14716
bcsstk02 11768 11631 14594 84212
bcsstk04 7882 7476 9180 53453
bcsstk05 6147 5560 7359 28802
bcsstk06 9047 6228 9956 24339
bcsstk07 8939 6095 7208 32016
bcsstk08 5529 4782 6779 66766
bcsstk09 4814 4165 6869 13634
bcsstk10 26770 5857 7325 21010
bcsstk11 6681 6959 6876 24799
bcsstk12 5513 5278 6973 27475
bcsstk13 5935 5985 7036 23278
bcsstk14 8369 6772 11508 39589
bcsstk15 7122 6413 8279 40588
bcsstk16 5750 4923 7485 20269
bcsstk17 8815 9030 7274 67825
bcsstk18 4848 5696 6026 18196
bcsstk19 5217 5085 7076 11833
bcsstk20 4856 4211 5685 9488
bcsstk21 4325 4197 5833 7465
bcsstk22 6685 5477 7664 8831
bcsstk23 5535 5338 6394 14066
bcsstk24 6875 6576 9468 27663
bcsstk25 6711 5673 9797 26352
bcsstk26 6012 5459 7094 20790
bcsstk27 8119 7350 11587 36212
bcsstk28 8199 7557 9238 36438
bcsstk29 7818 7635 11139 60745
bcsstk30 8069 7907 9581 43568
bcsstk31 6820 6073 8207 31760
bcsstk32 7400 6797 8714 52199
bcsstk33 6332 5502 7483 16797
bcsstk34 8851 6293 7675 57555
bcsstk35 7022 7104 8538 27966
bcsstk36 7371 6597 15726 141332
bcsstk37 6724 6151 7664 40737
bcsstk38 7855 7525 10033 44225
bcsstm02 12156 4037 5245 19955
bcsstm05 4472 3384 6986 6496
bcsstm06 4082 3596 4950 5177
bcsstm07 10027 6520 7683 32797
bcsstm08 4908 3305 5469 4835
bcsstm09 5962 5520 7011 7107
bcsstm10 8667 8198 11641 21618
bcsstm11 6253 4779 6814 7114
bcsstm19 7005 5161 7503 6659
bcsstm20 5591 4527 7316 7435
bcsstm21 6337 10854 7634 7031
bcsstm22 3635 4878 4680 4541
bcsstm23 6859 5502 8043 10529
bcsstm24 4815 4742 6401 4858
bcsstm25 4942 3538 7416 4712
bcsstm26 4717 3781 4934 6260
bcsstm27 11889 7443 9251 35736
bcsstm34 13802 7676 9062 36164
bcsstm39 6100 3838 4950 5540
beaflw 7954 8975 6572 42295
beause 7596 5674 6372 17177
bfwa398 10514 6105 6858 15651
bfwa62 12738 6697 7783 26713
bfwa782 9791 5580 10388 13878
bfwb398 6940 4837 6765 9854
bfwb62 6446 5301 7663 16916
bfwb782 8639 6247 9015 9100
big 6794 5337 7177 12956
blckhole 9293 4905 7140 8935
bwm200 5211 4506 5457 7636
bwm2000 6613 4778 5845 7850
can_1054 8147 5369 6551 22697
can_1072 7523 5319 6392 21557
can_144 6966 4778 6235 21239
can_161 6920 5082 6045 14258
can_187 12359 4345 6473 12307
can_229 11750 41150 6024 44284
can_24 3508 3488 3968 11034
can_256 7135 4858 6549 24822
can_268 7084 5301 6405 22784
can_292 5925 4726 6067 13863
can_445 8083 6499 8960 13336
can_61 6011 4910 6095 34071
can_62 4205 4203 4680 10820
can_634 6194 4543 6363 11880
can_715 6534 4697 5989 12067
can_73 4502 4251 4845 11007
can_838 6152 4092 6249 10854
can_96 7782 4302 7835 11131
cavity01 9872 7543 9770 53283
cavity03 10329 7884 9806 51917
cavity05 10109 8047 10056 52215
cavity07 11374 8747 10500 58387
cavity09 9659 7962 10025 52729
cavity10 10438 7907 10045 52240
cavity12 17778 7773 9973 52416
cavity14 9605 8193 10084 63142
cavity16 9704 7980 10224 71267
cavity18 9849 7673 11640 52263
cavity20 10572 8319 10247 52234
cavity22 9735 7755 9814 52430
cavity24 9500 7573 9888 51976
cavity26 9735 11341 9790 52143
cdde1 6088 4400 6257 8922
cdde2 6970 4501 6191 8688
cdde3 6547 6104 6217 11663
cdde4 6281 4344 6038 8807
cdde5 10034 5689 10722 15489
cdde6 10207 6327 5878 9334
circuit_1 5842 3902 5211 7665
circuit_2 5569 3508 4889 6540
circuit_3 9522 4676 7918 10207
circuit_4 5950 3759 5525 11209
ck104 6383 4755 6720 16518
ck400 6132 4773 6592 11659
ck656 7217 4788 6240 11748
coater1 7105 5202 6810 21743
coater2 7920 6227 7191 25180
conf5_0-4x4-10 8115 6462 8398 27852
crystk01 7408 5633 7625 28018
crystk02 6819 4745 6472 15849
crystk03 6619 4564 6316 11412
crystm01 6274 4279 6006 17050
crystm02 5880 3725 5061 7633
crystm03 5945 3660 4927 6535
ct20stif 7817 5965 7596 19988
curtis54 4609 5012 5218 22628
d_ss 3914 3770 4109 9770
dw1024 5575 4157 5813 8853
dw256A 6447 4530 5881 9966
dw256B 6237 4751 5940 10113
dw4096 6550 3950 8300 10870
dwt_1005 6164 4850 6409 10031
dwt_1007 6202 4071 10142 10737
dwt_1242 9668 3986 6258 11239
dwt_162 6626 4336 6175 9780
dwt_193 9936 5516 10295 22469
dwt_198 6416 4499 6372 10281
dwt_209 7075 4760 6296 15536
dwt_221 12564 4851 6301 13018
dwt_234 4550 3967 4995 9165
dwt_245 6390 4698 6519 13922
dwt_2680 11313 4694 6919 11545
dwt_307 5960 4869 5922 12715
dwt_310 6536 4282 6222 10376
dwt_346 6517 5224 6015 15429
dwt_361 5756 4171 5997 10114
dwt_419 6426 4556 5812 12559
dwt_492 6792 4146 5705 12353
dwt_503 6908 4698 6268 10627
dwt_512 6830 4612 6724 14248
dwt_59 4380 5566 4918 9033
dwt_592 6000 4090 5698 10217
dwt_607 6360 4601 5922 9875
dwt_66 4076 4153 4675 7442
dwt_72 3394 2758 4382 6088
dwt_758 5586 4153 5184 10022
dwt_869 6183 4432 5956 9986
dwt_87 5561 4417 5293 14209
dwt_878 11031 4197 5754 10166
dwt_918 7845 5272 6782 14955
dwt_992 7267 4987 6142 10502
epb0 6614 3540 4639 5871
epb1 7486 4426 6334 11151
epb2 7127 4981 6229 17528
epb3 7221 4918 6241 10834
eris1176 12315 9870 13039 73000
ex1 9953 8340 10605 47543
ex10 8100 6164 7439 17430
ex10hs 7447 5049 6688 17285
ex11 10754 9680 16567 36394
ex12 7995 6013 7698 24243
ex13 8529 5862 9194 22357
ex14 8246 8365 6945 20060
ex15 7671 4630 8435 9267
ex18 7600 5069 6291 12147
ex19 7993 5274 6670 17267
ex2 10321 8320 10019 40352
ex20 9145 6475 10389 25941
ex21 9230 6993 8643 31135
ex22 11391 9000 17652 63591
ex23 9601 6671 8586 31138
ex24 10457 8470 12438 45890
ex25 9547 7370 9325 38445
ex26 10205 9780 8069 35352
ex28 9512 6505 7704 25539
ex29 7126 3971 5156 8368
ex3 8988 5285 6840 22451
ex32 7068 4934 6000 16099
ex33 6931 4958 5972 10827
ex35 8270 5005 6165 11913
ex37 6948 4685 5857 10674
ex40 12150 8058 10160 40479
ex5 3944 3951 4619 14724
ex9 9136 5686 7818 19086
fs_183_1 9789 6735 8510 34877
fs_183_3 7062 5333 5849 29131
fs_183_4 6826 4715 5875 28763
fs_183_6 6112 4653 5423 28784
fs_541_1 7034 4375 13597 12348
fs_541_2 6931 4441 6195 12189
fs_541_3 7150 4696 6187 11417
fs_541_4 7573 4754 7803 13938
fs_680_1 6905 4620 6051 9412
fs_680_2 6823 4772 5833 10162
fs_680_3 6955 4371 5905 8891
fs_760_1 7769 6794 5902 7828
fs_760_2 6654 4170 5917 8294
fs_760_3 6850 4913 7711 8129
garon1 7554 4953 6886 13378
garon2 7645 4601 6592 10780
gemat1 7967 5283 6176 20256
gemat11 7441 5122 6182 20838
gemat12 7934 5198 6391 21020
gent113 4697 4150 5120 12414
goodwin 15000 10639 13818 72013
gr_30_30 6938 4169 6184 11200
graham1 11959 10351 11902 53464
gre_1107 7213 4793 5914 11840
gre_115 4292 4296 4863 11562
gre_185 6084 5320 5461 11240
gre_216a 5671 4841 5330 8855
gre_216b 6406 4495 5446 8537
gre_343 6431 4973 5554 9008
gre_512 7385 5319 6290 9176
hor_131 7541 5106 6614 11980
ibm32 3853 3792 4133 9495
illc1033 6630 4141 5960 13464
illc1850 5928 4458 5006 11822
impcol_a 4783 4711 4575 9441
impcol_b 4988 4679 5289 18743
impcol_c 4184 3642 4663 13361
impcol_d 7180 4748 6792 17092
impcol_e 8337 7387 9050 39514
jagmesh1 9850 4526 8354 9410
jagmesh2 12445 7201 17574 874661
jagmesh3 18194 5782 15064 15132
jagmesh4 5218 6240 5606 9170
jagmesh5 5424 6096 5729 7705
jagmesh6 5213 6809 5726 10092
jagmesh7 5365 6276 5539 10553
jagmesh8 6826 6403 8197 14956
jagmesh9 6361 5659 5724 11489
jgl009 3825 5103 4490 10955
jgl011 4110 4200 4423 13325
jpwh_991 6402 6880 6351 6826
lns_131 5114 5342 5094 11506
lns_3937 5552 6555 5599 9478
lns_511 5268 6261 5740 9012
lnsp3937 4688 6577 5490 6235
lnsp_131 7226 5788 6237 29004
lnsp_511 6911 7249 7309 14851
lop163 6235 9271 6245 13661
lpi_box1 4510 6726 5135 6343
lshp1009 6022 7423 5760 7710
lshp1270 5113 8157 7796 7881
lshp1561 4845 7458 5319 7684
lshp1882 7258 7098 8435 7639
lshp2233 5297 7348 5490 7850
lshp2614 4693 8010 5392 7774
lshp3025 5363 7260 5820 7648
lshp3466 5355 7437 5872 7866
lshp_265 5828 7765 5907 11335
lshp_406 5178 14972 5529 10248
lshp_577 4950 7255 5465 7939
lshp_778 5266 7516 5382 7627
lund_a 5980 8352 6942 18397
lund_b 6420 8155 6934 18574
mahindas 4304 6718 4620 5178
mcca 6490 8820 6735 21085
mcfe 12062 11083 9446 27109
meg1 4304 7444 4854 2304
mhd1280b 6171 8702 6369 21165
mhda416 8485 11435 9470 51370
mhdb416 5268 7857 5395 12955
mplate 5761 17598 7269 15842
msc00726 6996 10020 7789 34861
msc01440 5570 7391 6244 9051
msc04515 5915 7928 5988 14410
msc10848 5586 7663 5834 10240
nasa1824 6065 9209 7464 21942
nasa2910 7797 11165 10312 25415
nasa4704 5657 8668 6273 19735
nnc1374 5970 8182 6286 15667
nnc261 6371 9008 6709 23430
nnc666 8547 8355 8010 21265
nopoly 4725 7362 4892 9421
nos1 5062 7045 5340 6257
nos2 5151 7709 5104 6361
nos3 5919 8268 6645 22415
nos4 3940 5766 4933 9765
nos6 4644 6720 4798 6470
nos7 4969 7230 5489 6418
odepa400 4407 6529 4937 6107
odepb400 3579 6102 3985 3630
olm100 3676 5441 5018 6890
olm1000 6327 7106 5670 7865
olm2000 5030 7290 5622 7798
olm500 7876 7384 5861 7902
olm5000 5290 7346 6869 7946
onetone1 5702 7189 5350 11582
onetone2 5208 7055 5201 11666
orani678 16038 7422 5296 3724
orsirr_1 6256 7666 6715 9049
orsirr_2 5360 7778 6295 8906
orsreg_1 5319 7655 6016 9226
pcrystk02 5838 8339 6364 14396
pcrystk03 5537 8467 7635 10722
pct20stif 6653 9721 7295 18798
pde225 4690 7502 5865 8800
pde2961 5743 7295 5373 7559
pde900 5488 8155 5829 7776
pesa 4499 6478 4677 3749
plat1919 5172 10037 14702 10538
plat362 4902 7569 5260 6256
poli 4602 6871 5172 12250
poli_large 7233 7309 5043 6460
pores_1 3840 5655 4487 11851
pores_2 5787 8827 7863 13002
pores_3 4710 7199 5301 7749
pre2 5286 7609 5100 24662
psmigr_1 12517 14498 23717 83452
psmigr_2 13304 21804 13492 81860
psmigr_3 11587 14739 14138 92124
pwtk 6389 8953 7702 18462
qc2534 12181 24013 14554 83160
qc324 12242 14836 14565 175368
qh882 5598 7372 5328 5672
rbsa480 7915 10563 8452 30929
rbsb480 7686 12366 8265 30925
rdb2048 5268 7617 5664 7702
rdb5000 6186 15395 6213 7802
rdb968 5119 8441 6083 9270
rgg010 2768 5000 3313 9745
rim 11375 13525 12760 83789
rlfprim 4155 6846 4100 2343
rma10 7090 10644 7879 19425
rw136 4024 6732 5020 7581
rw496 10869 7266 5411 6129
rw5151 4609 7301 5057 5227
saylr1 6255 7903 7734 11005
saylr3 5758 10455 5470 6458
saylr4 8332 7629 6103 6450
sherman1 4885 7230 5411 6652
sherman2 9153 14483 8677 28485
sherman3 4555 6669 4851 6538
sherman4 4966 7694 5050 7771
sherman5 4670 7585 5179 4324
sstmodel 4478 7215 4742 5725
steam1 13135 7110 6323 6393
steam2 4860 8131 5830 6963
steam3 5400 8165 6677 12537
thermal 6384 8815 7044 14395
tub100 5609 7185 5370 7628
tub1000 5657 7499 7267 7798
twotone 5404 7457 5307 14443
vibrobox 6071 8663 6666 18436
watt_1 4190 6991 4676 3885
well1033 4561 7178 4822 11803
well1850 4574 6964 6654 10307
will57 6352 9557 5917 16063
wm1 10349 12386 13113 55377
wm2 15876 13615 11808 54833
wm3 1148829 951255 2080294 55316
young1c 9752 26879 7387 9055
young2c 4082 3696 5222 8961
young3c 3966 3895 5446 8931
young4c 4425 3706 5640 8890
zenios 3696 3458 4545 14809
